ID_BCT,TYPE_ID_BCT,CODE_BCT,MONT_ENCR_CRDT,CODE_OPERATION,STATUT_DECLR,DATE_MODIFICATION,DAT_SIT
BCT988008514310,01,0220,2440.168,N,1,,20250930
BCT188243198067,01,0220,493.686,N,1,,20250930
BCT708249147408,01,0220,3.547,N,1,,20250930
BCT221137895982,01,0220,6.901,N,1,,20250930
BCT188392405573,01,0220,40.835,N,1,,20250930
BCT052731849333,01,0220,1499.315,N,1,,20250930
BCT593498476000,01,0220,38.276,N,1,,20250930
BCT231721511502,01,0220,31.497,N,1,,20250930
BCT402994286741,01,0220,42.769,N,1,,20250930
BCT990965465299,01,0220,122.726,N,1,,20250930
BCT701505998161,01,0220,51.99,N,1,,20250930
BCT251186304999,01,0220,71.293,N,1,,20250930
BCT509290901341,01,0220,71.4,N,1,,20250930
BCT443074040578,01,0220,26.674,N,1,,20250930
BCT195285881840,01,0220,490.678,N,1,,20250930
BCT143051596140,01,0220,18576.152,N,1,,20250930
BCT043863246213,01,0220,32434.017,N,1,,20250930
BCT182814532325,01,0220,18831.947,N,1,,20250930
BCT182814532325,01,0220,18936.42,N,1,,20250930
BCT550581373341,01,0220,12857.367,N,1,,20250930
BCT451356749888,01,0220,101519.86,N,1,,20250930
BCT947386090432,01,0220,58928.762,N,1,,20250930
BCT289523970723,01,0220,5731.016,N,1,,20250930
BCT725719984765,01,0220,45097.076,N,1,,20250930
BCT014323869335,01,0220,27048.138,N,1,,20250930
BCT088826492325,01,0220,15762.188,N,1,,20250930
BCT541929481305,01,0220,26915.015,N,1,,20250930
BCT528901878786,01,0220,9763.617,N,1,,20250930
BCT038583955202,01,0220,100468.986,N,1,,20250930
BCT725719984765,01,0220,46305.705,N,1,,20250930
BCT265931956675,01,0220,30226.016,N,1,,20250930
BCT088826492325,01,0220,16126.743,N,1,,20250930
BCT970433231099,01,0220,23770.321,N,1,,20250930
BCT574748194906,01,0220,28635.886,N,1,,20250930
BCT488912358811,01,0220,30309.796,N,1,,20250930
BCT805088329984,01,0220,21260.912,N,1,,20250930
BCT660224740639,01,0220,317.471,N,1,,20250930
BCT265931956675,01,0220,30283.66,N,1,,20250930
BCT660224740639,01,0220,519.151,N,1,,20250930
BCT897413175615,01,0220,48571.389,N,1,,20250930
BCT688831326170,01,0220,43032.561,N,1,,20250930
BCT688831326170,01,0220,47009.396,N,1,,20250930
BCT265931956675,01,0220,23751.741,N,1,,20250930
BCT303149315711,01,0220,13510.026999999998,N,1,,20250930
BCT374449830112,01,0220,32742.304,N,1,,20250930
BCT151075591338,01,0220,7729.617,N,1,,20250930
BCT189149973531,01,0220,114560.581,N,1,,20250930
BCT250932710290,01,0220,37814.151,N,1,,20250930
BCT014323869335,01,0220,1612.158,N,1,,20250930
BCT038583955202,01,0220,5686.885,N,1,,20250930
BCT688831326170,01,0220,2370.923,N,1,,20250930
BCT660224740639,01,0220,1782.25,N,1,,20250930
BCT660224740639,01,0220,1095.533,N,1,,20250930
BCT265931956675,01,0220,1163.992,N,1,,20250930
BCT725719984765,01,0220,2660.629,N,1,,20250930
BCT189149973531,01,0220,4960.605,N,1,,20250930
